Cause of Death Code,Cause of Death Description,Census Region,Report Date,State,Drug Overdose Death Count
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2016,District of Columbia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2016,Florida,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2016,Georgia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2016,Kentucky,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2016,Louisiana,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2016,Maryland,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2016,Mississippi,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2016,North Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2016,Oklahoma,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2016,South Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2016,Tennessee,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2016,Texas,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2016,Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2016,West Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2017,Delaware,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2017,District of Columbia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2017,Florida,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2017,Georgia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2017,Kentucky,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2017,Louisiana,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2017,Maryland,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2017,Mississippi,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2017,North Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2017,Oklahoma,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2017,South Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2017,Tennessee,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2017,Texas,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2017,Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2017,West Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2018,Delaware,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2018,District of Columbia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2018,Florida,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2018,Georgia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2018,Kentucky,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2018,Louisiana,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2018,Maryland,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2018,Mississippi,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2018,North Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2018,Oklahoma,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2018,South Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2018,Tennessee,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2018,Texas,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2018,Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2018,West Virginia,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/1999,Delaware,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/1999,District of Columbia,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/1999,Florida,54
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/1999,Georgia,11
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/1999,Kentucky,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/1999,Louisiana,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/1999,Maryland,10
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/1999,Mississippi,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/1999,North Carolina,37
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/1999,Oklahoma,22
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/1999,South Carolina,12
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/1999,Tennessee,27
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/1999,Texas,59
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/1999,Virginia,33
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/1999,West Virginia,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2000,Delaware,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2000,District of Columbia,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2000,Florida,70
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2000,Georgia,19
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2000,Kentucky,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2000,Louisiana,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2000,Maryland,15
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2000,Mississippi,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2000,North Carolina,40
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2000,Oklahoma,28
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2000,South Carolina,15
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2000,Tennessee,22
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2000,Texas,46
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2000,Virginia,31
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2000,West Virginia,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2001,Delaware,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2001,District of Columbia,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2001,Florida,93
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2001,Georgia,21
